num_voters,title,url,avg_rating,rank,geek_rating,release_date
127.0,Prussia's Glory II,/boardgame/17395/prussias-glory-ii,6.91,4959,5.642,2005
294.0,Salamanca,/boardgame/25409/salamanca,6.16,4960,5.642,2006
164.0,Texas Glory: 1835-36,/boardgame/11886/texas-glory-1835-36,7.1,4073,5.697,2008
302.0,Twenty One,/boardgame/217475/twenty-one,6.41,4074,5.697,2017
434.0,Hoax (second edition),/boardgame/182218/hoax-second-edition,6.18,4268,5.682,2016
168.0,Legend of the Burning Sands,/boardgame/3836/legend-burning-sands,7.01,4269,5.682,1998
295.0,Dungeon Heroes,/boardgame/127981/dungeon-heroes,6.38,4578,5.664,2013
159.0,Mafia City,/boardgame/131232/mafia-city,6.88,4579,5.664,2012
134.0,Germantown,/boardgame/43526/germantown,7.46,3984,5.705,2010
185.0,Bali,/boardgame/233956/bali,6.94,3985,5.705,2017
181.0,18GA,/boardgame/2583/18ga,7.18,3582,5.744,1998
250.0,Statis Pro Basketball,/boardgame/4453/statis-pro-basketball,6.98,3583,5.744,1972
230.0,Claim,/boardgame/233961/claim,7.06,3384,5.768,2017
404.0,Prawo Dżungli,/boardgame/32901/prawo-dzungli,6.6,3385,5.768,2007
910.0,It Happens..,/boardgame/66193/it-happens,6.22,2988,5.824,2010
162.0,Gaslands,/boardgame/184824/gaslands,8.64,2989,5.824,2017
355.0,The Battle of the Bulge,/boardgame/426/battle-bulge,6.49,3682,5.734,1981
363.0,Bomb Squad Academy,/boardgame/166202/bomb-squad-academy,6.49,3683,5.734,2015
424.0,Blue vs. Gray,/boardgame/89/blue-vs-gray,6.77,2892,5.838,1999
381.0,Take it to the Limit!,/boardgame/25294/take-it-limit,6.87,2893,5.837,2006
253.0,Guilford,/boardgame/7086/guilford,7.1,3186,5.793,2002
303.0,Spellbound,/boardgame/130295/spellbound,6.86,3187,5.793,2012
249.0,A Game of Thrones: Catan – Brotherhood of the Watch,/boardgame/229218/game-thrones-catan-brotherhood-watch,7.25,3288,5.778,2017
598.0,Yahtzee Free for All,/boardgame/37296/yahtzee-free-all,6.3,3289,5.778,2008
122.0,MBT (second edition),/boardgame/157323/mbt-second-edition,8.13,3877,5.714,2016
1326.0,Superfight,/boardgame/139443/superfight,6.03,3878,5.714,2013
101.0,"Kolin: Frederick's First Defeat – June 18, 1757",/boardgame/5394/kolin-fredericks-first-defeat-june-18-1757,7.81,4382,5.674,1994
175.0,Oilfield,/boardgame/131241/oilfield,6.9,4383,5.674,2016
125.0,Bargain Quest,/boardgame/223740/bargain-quest,7.35,4664,5.657,2017
306.0,Mercurius,/boardgame/129380/mercurius,6.34,4665,5.657,2012
86.0,FAB: Golan '73,/boardgame/129348/fab-golan-73,7.62,4763,5.653,2016
414.0,The Walking Dead Board Game: The Best Defense,/boardgame/140638/walking-dead-board-game-best-defense,6.16,4764,5.653,2013
409.0,Zapp Zerapp,/boardgame/988/zapp-zerapp,6.12,4468,5.669,2000
